pressStart,pressStop,label
1619040830831,1619040830868,1
1619040831682,1619040831733,3
1619040832503,1619040832550,7
1619040833422,1619040833478,9
1619040834440,1619040834491,2
1619040835335,1619040835425,8
1619040836276,1619040836344,4
1619040837220,1619040837264,6
1619040838082,1619040838129,5
1619040838984,1619040839042,0
1619040849028,1619040849084,1
1619040850325,1619040850378,3
1619040851280,1619040851357,7
1619040852260,1619040852361,9
1619040853137,1619040853184,2
1619040853963,1619040854004,8
1619040854870,1619040854949,4
1619040855761,1619040855824,6
1619040856495,1619040856531,5
1619040857323,1619040857376,0
1619040868496,1619040868555,1
1619040869440,1619040869498,3
1619040870289,1619040870345,7
1619040871132,1619040871194,9
1619040872045,1619040872103,2
1619040873010,1619040873082,8
1619040873935,1619040873989,4
1619040874815,1619040874864,6
1619040875638,1619040875701,5
1619040876523,1619040876609,0
1619040938720,1619040938788,1
1619040939612,1619040939688,3
1619040941663,1619040941724,7
1619040942501,1619040942588,9
1619040943403,1619040943462,2
1619040944221,1619040944293,8
1619040945095,1619040945150,4
1619040945917,1619040945995,6
1619040946958,1619040947052,5
1619040947785,1619040947864,0
1619040959021,1619040959098,1
1619040959850,1619040959920,3
1619040960826,1619040960890,7
1619040961941,1619040962017,9
1619040962938,1619040962989,2
1619040963881,1619040963957,8
1619040964727,1619040964804,4
1619040965551,1619040965612,6
1619040966415,1619040966475,5
1619040967227,1619040967295,0
1619040979757,1619040979830,1
1619040980601,1619040980654,3
1619040981484,1619040981543,7
1619040982435,1619040982514,9
1619040983331,1619040983370,2
1619040984271,1619040984339,8
1619040985074,1619040985142,4
1619040985868,1619040985947,6
1619040986641,1619040986718,5
1619040987470,1619040987539,0
1619041002702,1619041002762,1
1619041003442,1619041003514,3
1619041004238,1619041004343,7
1619041005113,1619041005199,9
1619041007072,1619041007138,4
1619041007925,1619041007980,6
1619041008746,1619041008827,2
1619041009543,1619041009621,8
1619041010291,1619041010338,5
1619041011080,1619041011132,0
1619041053130,1619041053182,1
1619041053952,1619041054005,3
1619041054977,1619041055045,7
1619041055711,1619041055798,9
1619041056489,1619041056568,2
1619041057287,1619041057347,8
1619041058115,1619041058186,4
1619041058836,1619041058913,6
1619041059725,1619041059823,5
1619041060581,1619041060644,0
1619041080034,1619041080103,1
1619041081136,1619041081198,3
1619041082071,1619041082150,7
1619041082974,1619041083069,9
1619041083937,1619041083995,2
1619041084725,1619041084808,8
1619041085814,1619041085874,4
1619041086669,1619041086773,6
1619041087641,1619041087736,5
1619041088513,1619041088577,0
1619041109394,1619041109452,1
1619041110247,1619041110300,3
1619041111095,1619041111155,7
1619041111952,1619041112014,9
1619041112844,1619041112895,2
1619041113747,1619041113813,8
1619041114590,1619041114661,4
1619041115580,1619041115631,6
1619041116500,1619041116551,5
1619041117472,1619041117555,0
1619041129825,1619041129885,1
1619041130712,1619041130761,3
1619041131923,1619041131967,7
1619041132788,1619041132848,9
1619041133887,1619041133933,2
1619041134658,1619041134727,8
1619041135530,1619041135609,4
1619041136442,1619041136512,6
1619041137374,1619041137429,5
1619041138219,1619041138271,0
1619041305347,1619041305408,1
1619041306248,1619041306325,5
1619041307114,1619041307184,9
1619041308000,1619041308067,2
1619041308866,1619041308944,6
1619041309839,1619041309907,3
1619041311719,1619041311796,4
1619041312602,1619041312679,8
1619041313346,1619041313441,7
1619041314103,1619041314176,0
1619041326653,1619041326694,1
